loan_id,image_type,path,relative_path,size_bytes,width,height,status,error,split,predicted_type,confidence
loan_0083,face_signing,D:\GitHub\jinchuang\data\loan_0083\face_signing.jpg,loan_0083\face_signing.jpg,174811,1024,1024,ok,,train,face_signing,0.99781644
loan_0084,face_signing,D:\GitHub\jinchuang\data\loan_0084\face_signing.jpg,loan_0084\face_signing.jpg,106867,1024,1024,ok,,train,face_signing,0.99920124
loan_0085,face_signing,D:\GitHub\jinchuang\data\loan_0085\face_signing.jpg,loan_0085\face_signing.jpg,127026,1024,1024,ok,,train,face_signing,0.9989644
loan_0086,face_signing,D:\GitHub\jinchuang\data\loan_0086\face_signing.jpg,loan_0086\face_signing.jpg,139869,1024,1024,ok,,train,face_signing,0.99874866
loan_0087,face_signing,D:\GitHub\jinchuang\data\loan_0087\face_signing.jpg,loan_0087\face_signing.jpg,109862,1024,1024,ok,,train,face_signing,0.99822456
loan_0088,face_signing,D:\GitHub\jinchuang\data\loan_0088\face_signing.jpg,loan_0088\face_signing.jpg,122905,1024,1024,ok,,train,face_signing,0.99689686
loan_0089,face_signing,D:\GitHub\jinchuang\data\loan_0089\face_signing.jpg,loan_0089\face_signing.jpg,127480,1024,1024,ok,,val,face_signing,0.9967681
loan_009,face_signing,D:\GitHub\jinchuang\data\loan_009\face_signing.jpg,loan_009\face_signing.jpg,156625,1024,1024,ok,,train,face_signing,0.99052083
loan_0090,face_signing,D:\GitHub\jinchuang\data\loan_0090\face_signing.jpg,loan_0090\face_signing.jpg,136193,1024,1024,ok,,val,face_signing,0.9963354
loan_0091,face_signing,D:\GitHub\jinchuang\data\loan_0091\face_signing.jpg,loan_0091\face_signing.jpg,111586,1024,1024,ok,,train,face_signing,0.99833775
loan_0092,face_signing,D:\GitHub\jinchuang\data\loan_0092\face_signing.jpg,loan_0092\face_signing.jpg,124526,1024,1024,ok,,test,face_signing,0.99827147
loan_0093,face_signing,D:\GitHub\jinchuang\data\loan_0093\face_signing.jpg,loan_0093\face_signing.jpg,128368,1024,1024,ok,,train,face_signing,0.99763405
loan_0094,face_signing,D:\GitHub\jinchuang\data\loan_0094\face_signing.jpg,loan_0094\face_signing.jpg,127716,1024,1024,ok,,train,face_signing,0.99534875
loan_0095,face_signing,D:\GitHub\jinchuang\data\loan_0095\face_signing.jpg,loan_0095\face_signing.jpg,123095,1024,1024,ok,,test,face_signing,0.9990632
loan_0096,face_signing,D:\GitHub\jinchuang\data\loan_0096\face_signing.jpg,loan_0096\face_signing.jpg,122132,1024,1024,ok,,train,face_signing,0.994575
loan_0097,face_signing,D:\GitHub\jinchuang\data\loan_0097\face_signing.jpg,loan_0097\face_signing.jpg,127731,1024,1024,ok,,train,face_signing,0.9965371
loan_0098,face_signing,D:\GitHub\jinchuang\data\loan_0098\face_signing.jpg,loan_0098\face_signing.jpg,143393,1024,1024,ok,,test,face_signing,0.99849224
loan_0099,face_signing,D:\GitHub\jinchuang\data\loan_0099\face_signing.jpg,loan_0099\face_signing.jpg,134033,1024,1024,ok,,train,face_signing,0.9968952
loan_010,face_signing,D:\GitHub\jinchuang\data\loan_010\face_signing.jpg,loan_010\face_signing.jpg,160439,1024,1024,ok,,train,face_signing,0.99260885
loan_0100,face_signing,D:\GitHub\jinchuang\data\loan_0100\face_signing.jpg,loan_0100\face_signing.jpg,115045,1024,1024,ok,,train,face_signing,0.9979552
loan_0101,face_signing,D:\GitHub\jinchuang\data\loan_0101\face_signing.jpg,loan_0101\face_signing.jpg,125715,1024,1024,ok,,train,face_signing,0.9978957
loan_0102,face_signing,D:\GitHub\jinchuang\data\loan_0102\face_signing.jpg,loan_0102\face_signing.jpg,113366,1024,1024,ok,,train,face_signing,0.9985399
loan_0103,face_signing,D:\GitHub\jinchuang\data\loan_0103\face_signing.jpg,loan_0103\face_signing.jpg,127816,1024,1024,ok,,test,face_signing,0.9985769
loan_0104,face_signing,D:\GitHub\jinchuang\data\loan_0104\face_signing.jpg,loan_0104\face_signing.jpg,136711,1024,1024,ok,,test,face_signing,0.9992362
loan_0105,face_signing,D:\GitHub\jinchuang\data\loan_0105\face_signing.jpg,loan_0105\face_signing.jpg,148568,1024,1024,ok,,train,face_signing,0.9985065
loan_0106,face_signing,D:\GitHub\jinchuang\data\loan_0106\face_signing.jpg,loan_0106\face_signing.jpg,137595,1024,1024,ok,,val,face_signing,0.992769
loan_0107,face_signing,D:\GitHub\jinchuang\data\loan_0107\face_signing.jpg,loan_0107\face_signing.jpg,110197,1024,1024,ok,,train,face_signing,0.99747145
loan_0108,face_signing,D:\GitHub\jinchuang\data\loan_0108\face_signing.jpg,loan_0108\face_signing.jpg,153885,1024,1024,ok,,train,face_signing,0.997572
loan_0109,face_signing,D:\GitHub\jinchuang\data\loan_0109\face_signing.jpg,loan_0109\face_signing.jpg,129058,1024,1024,ok,,train,face_signing,0.9979159
loan_011,face_signing,D:\GitHub\jinchuang\data\loan_011\face_signing.jpg,loan_011\face_signing.jpg,200822,1024,1024,ok,,train,face_signing,0.991759
loan_0110,face_signing,D:\GitHub\jinchuang\data\loan_0110\face_signing.jpg,loan_0110\face_signing.jpg,133331,1024,1024,ok,,train,face_signing,0.99904674
loan_0111,face_signing,D:\GitHub\jinchuang\data\loan_0111\face_signing.jpg,loan_0111\face_signing.jpg,108948,1024,1024,ok,,train,face_signing,0.99791616
loan_0112,face_signing,D:\GitHub\jinchuang\data\loan_0112\face_signing.jpg,loan_0112\face_signing.jpg,134207,1024,1024,ok,,train,face_signing,0.9990503
loan_0113,face_signing,D:\GitHub\jinchuang\data\loan_0113\face_signing.jpg,loan_0113\face_signing.jpg,137020,1024,1024,ok,,train,face_signing,0.99902105
loan_0114,face_signing,D:\GitHub\jinchuang\data\loan_0114\face_signing.jpg,loan_0114\face_signing.jpg,103370,1024,1024,ok,,val,face_signing,0.99915874
loan_0115,face_signing,D:\GitHub\jinchuang\data\loan_0115\face_signing.jpg,loan_0115\face_signing.jpg,116564,1024,1024,ok,,val,face_signing,0.998892
loan_0116,face_signing,D:\GitHub\jinchuang\data\loan_0116\face_signing.jpg,loan_0116\face_signing.jpg,112622,1024,1024,ok,,train,face_signing,0.9988129
loan_0117,face_signing,D:\GitHub\jinchuang\data\loan_0117\face_signing.jpg,loan_0117\face_signing.jpg,129107,1024,1024,ok,,test,face_signing,0.9991078
loan_0118,face_signing,D:\GitHub\jinchuang\data\loan_0118\face_signing.jpg,loan_0118\face_signing.jpg,129814,1024,1024,ok,,train,face_signing,0.99783486
loan_0119,face_signing,D:\GitHub\jinchuang\data\loan_0119\face_signing.jpg,loan_0119\face_signing.jpg,131615,1024,1024,ok,,train,face_signing,0.99723166
loan_012,face_signing,D:\GitHub\jinchuang\data\loan_012\face_signing.jpg,loan_012\face_signing.jpg,129660,1024,1024,ok,,val,face_signing,0.9927326
loan_0120,face_signing,D:\GitHub\jinchuang\data\loan_0120\face_signing.jpg,loan_0120\face_signing.jpg,111181,1024,1024,ok,,val,face_signing,0.9988213
loan_0121,face_signing,D:\GitHub\jinchuang\data\loan_0121\face_signing.jpg,loan_0121\face_signing.jpg,127286,1024,1024,ok,,train,face_signing,0.99647105
loan_0122,face_signing,D:\GitHub\jinchuang\data\loan_0122\face_signing.jpg,loan_0122\face_signing.jpg,124527,1024,1024,ok,,train,face_signing,0.9987
loan_0123,face_signing,D:\GitHub\jinchuang\data\loan_0123\face_signing.jpg,loan_0123\face_signing.jpg,149224,1024,1024,ok,,test,face_signing,0.9973053
loan_0124,face_signing,D:\GitHub\jinchuang\data\loan_0124\face_signing.jpg,loan_0124\face_signing.jpg,130488,1024,1024,ok,,train,face_signing,0.9978642
loan_0125,face_signing,D:\GitHub\jinchuang\data\loan_0125\face_signing.jpg,loan_0125\face_signing.jpg,128176,1024,1024,ok,,train,face_signing,0.99867576
loan_0126,face_signing,D:\GitHub\jinchuang\data\loan_0126\face_signing.jpg,loan_0126\face_signing.jpg,114281,1024,1024,ok,,train,face_signing,0.9990042
loan_0127,face_signing,D:\GitHub\jinchuang\data\loan_0127\face_signing.jpg,loan_0127\face_signing.jpg,138436,1024,1024,ok,,train,face_signing,0.99803036
loan_0128,face_signing,D:\GitHub\jinchuang\data\loan_0128\face_signing.jpg,loan_0128\face_signing.jpg,105712,1024,1024,ok,,train,face_signing,0.9973883
loan_0129,face_signing,D:\GitHub\jinchuang\data\loan_0129\face_signing.jpg,loan_0129\face_signing.jpg,152778,1024,1024,ok,,train,face_signing,0.9964761
loan_013,face_signing,D:\GitHub\jinchuang\data\loan_013\face_signing.jpg,loan_013\face_signing.jpg,175263,1024,1024,ok,,train,face_signing,0.98898286
loan_0130,face_signing,D:\GitHub\jinchuang\data\loan_0130\face_signing.jpg,loan_0130\face_signing.jpg,124136,1024,1024,ok,,train,face_signing,0.9972403
loan_0131,face_signing,D:\GitHub\jinchuang\data\loan_0131\face_signing.jpg,loan_0131\face_signing.jpg,112421,1024,1024,ok,,train,face_signing,0.99898165
loan_0132,face_signing,D:\GitHub\jinchuang\data\loan_0132\face_signing.jpg,loan_0132\face_signing.jpg,162017,1024,1024,ok,,val,face_signing,0.99710244
loan_0133,face_signing,D:\GitHub\jinchuang\data\loan_0133\face_signing.jpg,loan_0133\face_signing.jpg,134740,1024,1024,ok,,train,face_signing,0.99789774
loan_0134,face_signing,D:\GitHub\jinchuang\data\loan_0134\face_signing.jpg,loan_0134\face_signing.jpg,124168,1024,1024,ok,,train,face_signing,0.9979395
loan_0135,face_signing,D:\GitHub\jinchuang\data\loan_0135\face_signing.jpg,loan_0135\face_signing.jpg,120536,1024,1024,ok,,train,face_signing,0.99409014
loan_0136,face_signing,D:\GitHub\jinchuang\data\loan_0136\face_signing.jpg,loan_0136\face_signing.jpg,103554,1024,1024,ok,,train,face_signing,0.9979335
loan_0137,face_signing,D:\GitHub\jinchuang\data\loan_0137\face_signing.jpg,loan_0137\face_signing.jpg,123182,1024,1024,ok,,train,face_signing,0.9970293
loan_0138,face_signing,D:\GitHub\jinchuang\data\loan_0138\face_signing.jpg,loan_0138\face_signing.jpg,137704,1024,1024,ok,,train,face_signing,0.99904186
loan_0139,face_signing,D:\GitHub\jinchuang\data\loan_0139\face_signing.jpg,loan_0139\face_signing.jpg,147599,1024,1024,ok,,train,face_signing,0.99872166
loan_014,face_signing,D:\GitHub\jinchuang\data\loan_014\face_signing.jpg,loan_014\face_signing.jpg,157750,1024,1024,ok,,train,face_signing,0.9937296
loan_0140,face_signing,D:\GitHub\jinchuang\data\loan_0140\face_signing.jpg,loan_0140\face_signing.jpg,135553,1024,1024,ok,,test,face_signing,0.99852234
loan_0141,face_signing,D:\GitHub\jinchuang\data\loan_0141\face_signing.jpg,loan_0141\face_signing.jpg,147697,1024,1024,ok,,val,face_signing,0.99586844
loan_0142,face_signing,D:\GitHub\jinchuang\data\loan_0142\face_signing.jpg,loan_0142\face_signing.jpg,143766,1024,1024,ok,,train,face_signing,0.9984445
loan_0143,face_signing,D:\GitHub\jinchuang\data\loan_0143\face_signing.jpg,loan_0143\face_signing.jpg,122443,1024,1024,ok,,train,face_signing,0.99773693
loan_0144,face_signing,D:\GitHub\jinchuang\data\loan_0144\face_signing.jpg,loan_0144\face_signing.jpg,101193,1024,1024,ok,,val,face_signing,0.9986242
loan_0145,face_signing,D:\GitHub\jinchuang\data\loan_0145\face_signing.jpg,loan_0145\face_signing.jpg,112505,1024,1024,ok,,val,face_signing,0.998743
loan_0146,face_signing,D:\GitHub\jinchuang\data\loan_0146\face_signing.jpg,loan_0146\face_signing.jpg,140813,1024,1024,ok,,train,face_signing,0.9975714
loan_0147,face_signing,D:\GitHub\jinchuang\data\loan_0147\face_signing.jpg,loan_0147\face_signing.jpg,128896,1024,1024,ok,,test,face_signing,0.99876416
loan_0148,face_signing,D:\GitHub\jinchuang\data\loan_0148\face_signing.jpg,loan_0148\face_signing.jpg,86884,1024,1024,ok,,train,face_signing,0.99198157
loan_0149,face_signing,D:\GitHub\jinchuang\data\loan_0149\face_signing.jpg,loan_0149\face_signing.jpg,118583,1024,1024,ok,,train,face_signing,0.99186736
loan_015,face_signing,D:\GitHub\jinchuang\data\loan_015\face_signing.jpg,loan_015\face_signing.jpg,159509,1024,1024,ok,,train,face_signing,0.9930187
loan_0150,face_signing,D:\GitHub\jinchuang\data\loan_0150\face_signing.jpg,loan_0150\face_signing.jpg,105122,1024,1024,ok,,train,face_signing,0.9960944
loan_0151,face_signing,D:\GitHub\jinchuang\data\loan_0151\face_signing.jpg,loan_0151\face_signing.jpg,113889,1024,1024,ok,,train,face_signing,0.99194384
loan_0152,face_signing,D:\GitHub\jinchuang\data\loan_0152\face_signing.jpg,loan_0152\face_signing.jpg,120890,1024,1024,ok,,train,face_signing,0.99887234
loan_0153,face_signing,D:\GitHub\jinchuang\data\loan_0153\face_signing.jpg,loan_0153\face_signing.jpg,97465,1024,1024,ok,,train,face_signing,0.9856495
loan_0154,face_signing,D:\GitHub\jinchuang\data\loan_0154\face_signing.jpg,loan_0154\face_signing.jpg,120894,1024,1024,ok,,test,face_signing,0.99877805
loan_0155,face_signing,D:\GitHub\jinchuang\data\loan_0155\face_signing.jpg,loan_0155\face_signing.jpg,85807,1024,1024,ok,,train,face_signing,0.9841265
loan_0156,face_signing,D:\GitHub\jinchuang\data\loan_0156\face_signing.jpg,loan_0156\face_signing.jpg,90456,1024,1024,ok,,test,face_signing,0.9747146
loan_0157,face_signing,D:\GitHub\jinchuang\data\loan_0157\face_signing.jpg,loan_0157\face_signing.jpg,84744,1024,1024,ok,,train,face_signing,0.9935354
loan_0158,face_signing,D:\GitHub\jinchuang\data\loan_0158\face_signing.jpg,loan_0158\face_signing.jpg,138479,1024,1024,ok,,train,face_signing,0.9965526
loan_0159,face_signing,D:\GitHub\jinchuang\data\loan_0159\face_signing.jpg,loan_0159\face_signing.jpg,85487,1024,1024,ok,,train,face_signing,0.98742086
loan_016,face_signing,D:\GitHub\jinchuang\data\loan_016\face_signing.jpg,loan_016\face_signing.jpg,178959,1024,1024,ok,,val,face_signing,0.99819666
loan_0160,face_signing,D:\GitHub\jinchuang\data\loan_0160\face_signing.jpg,loan_0160\face_signing.jpg,108877,1024,1024,ok,,test,face_signing,0.9919171
loan_0161,face_signing,D:\GitHub\jinchuang\data\loan_0161\face_signing.jpg,loan_0161\face_signing.jpg,124243,1024,1024,ok,,train,face_signing,0.9982406
loan_0162,face_signing,D:\GitHub\jinchuang\data\loan_0162\face_signing.jpg,loan_0162\face_signing.jpg,114380,1024,1024,ok,,train,face_signing,0.99816763
loan_0163,face_signing,D:\GitHub\jinchuang\data\loan_0163\face_signing.jpg,loan_0163\face_signing.jpg,90680,1024,1024,ok,,train,face_signing,0.99392456
loan_0164,face_signing,D:\GitHub\jinchuang\data\loan_0164\face_signing.jpg,loan_0164\face_signing.jpg,110647,1024,1024,ok,,val,face_signing,0.9977064
loan_0165,face_signing,D:\GitHub\jinchuang\data\loan_0165\face_signing.jpg,loan_0165\face_signing.jpg,98419,1024,1024,ok,,train,face_signing,0.99129194
loan_0166,face_signing,D:\GitHub\jinchuang\data\loan_0166\face_signing.jpg,loan_0166\face_signing.jpg,117752,1024,1024,ok,,train,face_signing,0.9988193
loan_0167,face_signing,D:\GitHub\jinchuang\data\loan_0167\face_signing.jpg,loan_0167\face_signing.jpg,102855,1024,1024,ok,,train,face_signing,0.98511964
loan_0168,face_signing,D:\GitHub\jinchuang\data\loan_0168\face_signing.jpg,loan_0168\face_signing.jpg,126933,1024,1024,ok,,train,face_signing,0.9985393
loan_0169,face_signing,D:\GitHub\jinchuang\data\loan_0169\face_signing.jpg,loan_0169\face_signing.jpg,148965,1024,1024,ok,,val,face_signing,0.9979832
loan_017,face_signing,D:\GitHub\jinchuang\data\loan_017\face_signing.jpg,loan_017\face_signing.jpg,170612,1024,1024,ok,,val,face_signing,0.98991627
loan_0170,face_signing,D:\GitHub\jinchuang\data\loan_0170\face_signing.jpg,loan_0170\face_signing.jpg,116797,1024,1024,ok,,train,face_signing,0.9986766
loan_0171,face_signing,D:\GitHub\jinchuang\data\loan_0171\face_signing.jpg,loan_0171\face_signing.jpg,118395,1024,1024,ok,,test,face_signing,0.9986355
loan_0172,face_signing,D:\GitHub\jinchuang\data\loan_0172\face_signing.jpg,loan_0172\face_signing.jpg,132842,1024,1024,ok,,train,face_signing,0.9988022
loan_0173,face_signing,D:\GitHub\jinchuang\data\loan_0173\face_signing.jpg,loan_0173\face_signing.jpg,135491,1024,1024,ok,,train,face_signing,0.99850804
loan_0174,face_signing,D:\GitHub\jinchuang\data\loan_0174\face_signing.jpg,loan_0174\face_signing.jpg,115781,1024,1024,ok,,train,face_signing,0.9981451
loan_0175,face_signing,D:\GitHub\jinchuang\data\loan_0175\face_signing.jpg,loan_0175\face_signing.jpg,112056,1024,1024,ok,,val,face_signing,0.9980434
loan_0176,face_signing,D:\GitHub\jinchuang\data\loan_0176\face_signing.jpg,loan_0176\face_signing.jpg,105588,1024,1024,ok,,val,face_signing,0.9980367
loan_0177,face_signing,D:\GitHub\jinchuang\data\loan_0177\face_signing.jpg,loan_0177\face_signing.jpg,124720,1024,1024,ok,,train,face_signing,0.99904996
loan_0178,face_signing,D:\GitHub\jinchuang\data\loan_0178\face_signing.jpg,loan_0178\face_signing.jpg,114107,1024,1024,ok,,train,face_signing,0.9988281
loan_0179,face_signing,D:\GitHub\jinchuang\data\loan_0179\face_signing.jpg,loan_0179\face_signing.jpg,106579,1024,1024,ok,,train,face_signing,0.9991831
loan_018,face_signing,D:\GitHub\jinchuang\data\loan_018\face_signing.jpg,loan_018\face_signing.jpg,140875,1024,1024,ok,,train,face_signing,0.99342924
loan_0180,face_signing,D:\GitHub\jinchuang\data\loan_0180\face_signing.jpg,loan_0180\face_signing.jpg,127946,1024,1024,ok,,train,face_signing,0.99821895
loan_0181,face_signing,D:\GitHub\jinchuang\data\loan_0181\face_signing.jpg,loan_0181\face_signing.jpg,135330,1024,1024,ok,,train,face_signing,0.99900764
loan_0182,face_signing,D:\GitHub\jinchuang\data\loan_0182\face_signing.jpg,loan_0182\face_signing.jpg,136692,1024,1024,ok,,train,face_signing,0.9990382
loan_0183,face_signing,D:\GitHub\jinchuang\data\loan_0183\face_signing.jpg,loan_0183\face_signing.jpg,126301,1024,1024,ok,,train,face_signing,0.99492574
loan_0184,face_signing,D:\GitHub\jinchuang\data\loan_0184\face_signing.jpg,loan_0184\face_signing.jpg,103122,1024,1024,ok,,val,face_signing,0.9984616
loan_0185,face_signing,D:\GitHub\jinchuang\data\loan_0185\face_signing.jpg,loan_0185\face_signing.jpg,144911,1024,1024,ok,,test,face_signing,0.9977132
loan_0186,face_signing,D:\GitHub\jinchuang\data\loan_0186\face_signing.jpg,loan_0186\face_signing.jpg,119854,1024,1024,ok,,train,face_signing,0.9980179
loan_0187,face_signing,D:\GitHub\jinchuang\data\loan_0187\face_signing.jpg,loan_0187\face_signing.jpg,142141,1024,1024,ok,,train,face_signing,0.99803275
loan_0188,face_signing,D:\GitHub\jinchuang\data\loan_0188\face_signing.jpg,loan_0188\face_signing.jpg,113928,1024,1024,ok,,train,face_signing,0.9987953
loan_0189,face_signing,D:\GitHub\jinchuang\data\loan_0189\face_signing.jpg,loan_0189\face_signing.jpg,140284,1024,1024,ok,,train,face_signing,0.99899715
loan_019,face_signing,D:\GitHub\jinchuang\data\loan_019\face_signing.jpg,loan_019\face_signing.jpg,148566,1024,1024,ok,,val,face_signing,0.99368227
loan_0190,face_signing,D:\GitHub\jinchuang\data\loan_0190\face_signing.jpg,loan_0190\face_signing.jpg,129917,1024,1024,ok,,train,face_signing,0.9987852
loan_0191,face_signing,D:\GitHub\jinchuang\data\loan_0191\face_signing.jpg,loan_0191\face_signing.jpg,119741,1024,1024,ok,,train,face_signing,0.9989386
loan_0192,face_signing,D:\GitHub\jinchuang\data\loan_0192\face_signing.jpg,loan_0192\face_signing.jpg,141111,1024,1024,ok,,train,face_signing,0.9965532
loan_0193,face_signing,D:\GitHub\jinchuang\data\loan_0193\face_signing.jpg,loan_0193\face_signing.jpg,154814,1024,1024,ok,,train,face_signing,0.9977381
loan_0194,face_signing,D:\GitHub\jinchuang\data\loan_0194\face_signing.jpg,loan_0194\face_signing.jpg,146285,1024,1024,ok,,train,face_signing,0.9989518
loan_0195,face_signing,D:\GitHub\jinchuang\data\loan_0195\face_signing.jpg,loan_0195\face_signing.jpg,119495,1024,1024,ok,,train,face_signing,0.998543
loan_0196,face_signing,D:\GitHub\jinchuang\data\loan_0196\face_signing.jpg,loan_0196\face_signing.jpg,146993,1024,1024,ok,,train,face_signing,0.9988556
loan_0197,face_signing,D:\GitHub\jinchuang\data\loan_0197\face_signing.jpg,loan_0197\face_signing.jpg,124369,1024,1024,ok,,train,face_signing,0.99736255
loan_0198,face_signing,D:\GitHub\jinchuang\data\loan_0198\face_signing.jpg,loan_0198\face_signing.jpg,108035,1024,1024,ok,,train,face_signing,0.9991285
loan_0199,face_signing,D:\GitHub\jinchuang\data\loan_0199\face_signing.jpg,loan_0199\face_signing.jpg,135146,1024,1024,ok,,train,face_signing,0.99677664
loan_020,face_signing,D:\GitHub\jinchuang\data\loan_020\face_signing.jpg,loan_020\face_signing.jpg,191714,1024,1024,ok,,train,face_signing,0.987857
loan_0200,face_signing,D:\GitHub\jinchuang\data\loan_0200\face_signing.jpg,loan_0200\face_signing.jpg,111106,1024,1024,ok,,train,face_signing,0.9991841
loan_0201,face_signing,D:\GitHub\jinchuang\data\loan_0201\face_signing.jpg,loan_0201\face_signing.jpg,125485,1024,1024,ok,,train,face_signing,0.99829096
loan_0202,face_signing,D:\GitHub\jinchuang\data\loan_0202\face_signing.jpg,loan_0202\face_signing.jpg,146635,1024,1024,ok,,test,face_signing,0.9974727
loan_0203,face_signing,D:\GitHub\jinchuang\data\loan_0203\face_signing.jpg,loan_0203\face_signing.jpg,124296,1024,1024,ok,,train,face_signing,0.9984425
loan_0204,face_signing,D:\GitHub\jinchuang\data\loan_0204\face_signing.jpg,loan_0204\face_signing.jpg,130505,1024,1024,ok,,train,face_signing,0.99899596
loan_0205,face_signing,D:\GitHub\jinchuang\data\loan_0205\face_signing.jpg,loan_0205\face_signing.jpg,155642,1024,1024,ok,,val,face_signing,0.99846077
loan_0206,face_signing,D:\GitHub\jinchuang\data\loan_0206\face_signing.jpg,loan_0206\face_signing.jpg,118984,1024,1024,ok,,train,face_signing,0.99483126
loan_0207,face_signing,D:\GitHub\jinchuang\data\loan_0207\face_signing.jpg,loan_0207\face_signing.jpg,136809,1024,1024,ok,,train,face_signing,0.9988945
loan_0208,face_signing,D:\GitHub\jinchuang\data\loan_0208\face_signing.jpg,loan_0208\face_signing.jpg,148359,1024,1024,ok,,train,face_signing,0.9954125
loan_0209,face_signing,D:\GitHub\jinchuang\data\loan_0209\face_signing.jpg,loan_0209\face_signing.jpg,110211,1024,1024,ok,,train,face_signing,0.999054
loan_021,face_signing,D:\GitHub\jinchuang\data\loan_021\face_signing.jpg,loan_021\face_signing.jpg,170461,1024,1024,ok,,train,face_signing,0.9923126
loan_0210,face_signing,D:\GitHub\jinchuang\data\loan_0210\face_signing.jpg,loan_0210\face_signing.jpg,142264,1024,1024,ok,,test,face_signing,0.99830425
loan_0211,face_signing,D:\GitHub\jinchuang\data\loan_0211\face_signing.jpg,loan_0211\face_signing.jpg,120937,1024,1024,ok,,train,face_signing,0.99810886
loan_0212,face_signing,D:\GitHub\jinchuang\data\loan_0212\face_signing.jpg,loan_0212\face_signing.jpg,121350,1024,1024,ok,,test,face_signing,0.9978968
loan_0213,face_signing,D:\GitHub\jinchuang\data\loan_0213\face_signing.jpg,loan_0213\face_signing.jpg,102403,1024,1024,ok,,train,face_signing,0.99848145
loan_0214,face_signing,D:\GitHub\jinchuang\data\loan_0214\face_signing.jpg,loan_0214\face_signing.jpg,105896,1024,1024,ok,,train,face_signing,0.99743026
loan_0215,face_signing,D:\GitHub\jinchuang\data\loan_0215\face_signing.jpg,loan_0215\face_signing.jpg,120689,1024,1024,ok,,train,face_signing,0.9975459
loan_0216,face_signing,D:\GitHub\jinchuang\data\loan_0216\face_signing.jpg,loan_0216\face_signing.jpg,130422,1024,1024,ok,,test,face_signing,0.99855155
loan_0217,face_signing,D:\GitHub\jinchuang\data\loan_0217\face_signing.jpg,loan_0217\face_signing.jpg,120447,1024,1024,ok,,test,face_signing,0.99719405
loan_0218,face_signing,D:\GitHub\jinchuang\data\loan_0218\face_signing.jpg,loan_0218\face_signing.jpg,127887,1024,1024,ok,,val,face_signing,0.9976731
loan_0219,face_signing,D:\GitHub\jinchuang\data\loan_0219\face_signing.jpg,loan_0219\face_signing.jpg,143760,1024,1024,ok,,train,face_signing,0.99782205
loan_022,face_signing,D:\GitHub\jinchuang\data\loan_022\face_signing.jpg,loan_022\face_signing.jpg,133514,1024,1024,ok,,train,face_signing,0.9946549
loan_0220,face_signing,D:\GitHub\jinchuang\data\loan_0220\face_signing.jpg,loan_0220\face_signing.jpg,110578,1024,1024,ok,,train,face_signing,0.9994161
